FFT_peak_1_freq_x_,FFT_peak_1_amp_x_,FFT_peak_2_freq_x_,FFT_peak_2_amp_x_,FFT_peak_3_freq_x_,FFT_peak_3_amp_x_,FFT_peak_4_freq_x_,FFT_peak_4_amp_x_,FFT_peak_5_freq_x_,FFT_peak_5_amp_x_,PSD_peak_1_freq_x_,PSD_peak_1_amp_x_,PSD_peak_2_freq_x_,PSD_peak_2_amp_x_,PSD_peak_3_freq_x_,PSD_peak_3_amp_x_,PSD_peak_4_freq_x_,PSD_peak_4_amp_x_,PSD_peak_5_freq_x_,PSD_peak_5_amp_x_,aCorr_peak_1_freq_x_,aCorr_peak_1_amp_x_,aCorr_peak_2_freq_x_,aCorr_peak_2_amp_x_,aCorr_peak_3_freq_x_,aCorr_peak_3_amp_x_,aCorr_peak_4_freq_x_,aCorr_peak_4_amp_x_,aCorr_peak_5_freq_x_,aCorr_peak_5_amp_x_,FFT_peak_1_freq_y_,FFT_peak_1_amp_y_,FFT_peak_2_freq_y_,FFT_peak_2_amp_y_,FFT_peak_3_freq_y_,FFT_peak_3_amp_y_,FFT_peak_4_freq_y_,FFT_peak_4_amp_y_,FFT_peak_5_freq_y_,FFT_peak_5_amp_y_,PSD_peak_1_freq_y_,PSD_peak_1_amp_y_,PSD_peak_2_freq_y_,PSD_peak_2_amp_y_,PSD_peak_3_freq_y_,PSD_peak_3_amp_y_,PSD_peak_4_freq_y_,PSD_peak_4_amp_y_,PSD_peak_5_freq_y_,PSD_peak_5_amp_y_,aCorr_peak_1_freq_y_,aCorr_peak_1_amp_y_,aCorr_peak_2_freq_y_,aCorr_peak_2_amp_y_,aCorr_peak_3_freq_y_,aCorr_peak_3_amp_y_,aCorr_peak_4_freq_y_,aCorr_peak_4_amp_y_,aCorr_peak_5_freq_y_,aCorr_peak_5_amp_y_,FFT_peak_1_freq_z_,FFT_peak_1_amp_z_,FFT_peak_2_freq_z_,FFT_peak_2_amp_z_,FFT_peak_3_freq_z_,FFT_peak_3_amp_z_,FFT_peak_4_freq_z_,FFT_peak_4_amp_z_,FFT_peak_5_freq_z_,FFT_peak_5_amp_z_,PSD_peak_1_freq_z_,PSD_peak_1_amp_z_,PSD_peak_2_freq_z_,PSD_peak_2_amp_z_,PSD_peak_3_freq_z_,PSD_peak_3_amp_z_,PSD_peak_4_freq_z_,PSD_peak_4_amp_z_,PSD_peak_5_freq_z_,PSD_peak_5_amp_z_,aCorr_peak_1_freq_z_,aCorr_peak_1_amp_z_,aCorr_peak_2_freq_z_,aCorr_peak_2_amp_z_,aCorr_peak_3_freq_z_,aCorr_peak_3_amp_z_,aCorr_peak_4_freq_z_,aCorr_peak_4_amp_z_,aCorr_peak_5_freq_z_,aCorr_peak_5_amp_z_
10.665,3543.176,29.330,1530.445,50.660,2206.380,74.657,965.442,95.988,675.250,7.874,962186.579,31.496,387814.807,49.869,742819.799,73.491,215369.527,97.113,108860.967,0.018,1004637083.660,0.060,-685762784.819,0.098,794557112.708,0.140,406078557.713,0.176,647292565.313,10,2247,37,1014,61,650,0,0,0,0,10.499,228371.174,36.745,72070.509,49.869,153056.881,76.115,37308.075,97.113,15146.275,0,0,0,0,0,0,0,0,0,0,10.665,2500.061,29.330,1217.867,50.660,1258.114,74.657,806.565,101.321,724.497,7.874,735418.620,28.871,333255.672,41.995,473575.267,73.491,195050.439,86.614,51254.704,0.018,386993249.983,0.060,-485269779.019,0.098,264665618.058,0.140,248207026.382,0.170,262114747.299
5.333,2890.194,39.995,1595.947,58.659,1370.046,90.655,562.986,117.319,419.146,5.000,1154365.000,49.000,572914.000,62.000,111314.000,0.000,0.000,0.000,0.000,0.057,-635706461.590,0.101,368254469.601,0.140,124743609.482,0.176,233159257.457,0.226,528894294.136,7,2295,39,913,0,0,0,0,0,0,7.000,1280456.000,39.000,188411.000,57.000,116990.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,10.665,2548.199,34.662,912.986,58.659,833.025,90.655,471.415,117.319,354.304,10.000,620604.000,49.000,131147.000,62.000,33051.000,89.000,13145.000,0.000,0.000,0.068,-188597054.444,0.101,218289347.934,0.143,200313550.435,0.182,436866955.300,0.226,111309207.028
5.333,3274.817,23.997,1957.002,50.660,2271.537,82.656,474.770,101.321,660.697,7.000,3869288.000,23.000,375453.000,49.000,672943.000,0.000,0.000,0.000,0.000,0.021,1159107844.210,0.083,210350115.593,0.119,234925240.473,0.176,507465460.356,0.217,359777792.560,13,1424,0,0,0,0,0,0,0,0,2.625,243335.362,20.997,80487.890,39.370,9854.737,55.118,38538.679,70.866,23296.050,0,0,0,0,0,0,0,0,0,0,5.333,2840.845,50.660,1837.350,69.325,280.162,101.321,632.691,138.649,204.534,5.000,2506419.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,1904254482.721,0.060,386914743.027,0.101,388497884.748,0.146,932470495.597,0.191,364312917.472
13.332,3527.743,50.660,3641.373,82.656,537.122,101.321,700.724,119.985,308.927,5.000,578496.000,23.000,696991.000,36.000,507037.000,49.000,1799720.000,0.000,0.000,0.021,589259339.965,0.080,1083459188.224,0.119,470526123.616,0.161,1026964079.704,0.220,596385384.218,7,1343,50,1226,0,0,0,0,0,0,7.874,572241.915,20.997,78000.370,39.370,275671.828,55.118,101556.039,70.866,13234.965,0,0,0,0,0,0,0,0,0,0,10.665,2118.282,50.660,2332.791,74.657,342.306,119.985,325.422,141.316,344.711,5.249,522097.668,36.745,129356.284,49.869,537003.420,68.241,20543.982,81.365,27229.787,0.021,1389144423.958,0.060,376559019.073,0.101,772988482.893,0.140,585254777.312,0.179,701708596.758
10.665,2283.171,29.330,703.930,50.660,2274.367,79.990,523.699,119.985,261.923,7.000,1424284.000,28.000,155437.000,49.000,719697.000,0.000,0.000,0.000,0.000,0.018,720520900.715,0.060,35660872.491,0.098,369078969.516,0.137,461512917.962,0.196,730693513.010,5,1816,23,558,50,1782,0,0,0,0,5.000,762863.000,23.000,50808.000,36.000,67113.000,49.000,489582.000,0.000,0.000,0,-2147483648,0,0,0,0,0,0,0,0,10.665,2377.474,50.660,1030.661,79.990,331.685,98.654,310.955,117.319,233.930,10.000,724691.000,31.000,118905.000,49.000,160158.000,0.000,0.000,0.000,0.000,0.063,35500430.219,0.098,433861376.094,0.137,185630296.429,0.196,446499687.424,0.232,-16701926.368
10.665,2689.059,50.660,2001.292,82.656,655.870,101.321,365.011,125.318,311.269,10.000,1566444.000,23.000,1198982.000,49.000,288860.000,65.000,43822.000,0.000,0.000,0.039,19601785.734,0.086,413724656.145,0.119,153497550.737,0.164,316143118.641,0.199,-63849244.150,7,1813,29,733,50,1673,0,0,0,0,7.874,318991.807,23.622,146482.626,49.869,261585.222,83.990,12743.756,97.113,4644.118,0,0,0,0,0,0,0,0,0,0,10.665,2344.716,29.330,858.501,50.660,1203.383,82.656,285.825,101.321,295.594,10.000,1084157.000,49.000,147381.000,99.000,14037.000,0.000,0.000,0.000,0.000,0.033,239866582.373,0.063,497507387.970,0.098,513418868.687,0.134,162993863.740,0.182,529649204.927
10.665,2948.303,31.996,1714.355,50.660,2167.910,77.324,602.750,98.654,738.419,10.499,811760.960,23.622,467291.341,36.745,225204.652,49.869,690279.411,76.115,115364.433,0.018,603987144.465,0.083,210175636.106,0.119,325801566.896,0.179,409398082.065,0.217,226546213.892,5,1127,50,1140,0,0,0,0,0,0,13.000,820000.000,31.000,198109.000,49.000,236620.000,62.000,93731.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,10.665,2077.371,31.996,1000.117,50.660,1147.624,79.990,357.144,98.654,495.184,2.000,400114.000,15.000,437710.000,36.000,109007.000,49.000,115173.000,0.000,0.000,0.063,314743094.501,0.119,274834964.999,0.164,-34547274.625,0.199,440400700.539,0.286,292534577.343
7.999,3212.799,31.996,792.234,50.660,3073.087,79.990,670.376,101.321,924.640,7.874,3101115.931,20.997,77656.044,49.869,1266148.506,99.738,232500.915,128.609,109857.836,0.021,1369397558.181,0.060,-138001093.383,0.101,1105620761.906,0.140,638296732.745,0.179,-30801286.131,7,1991,50,1905,0,0,0,0,0,0,7.874,364025.633,20.997,22105.954,34.121,134103.509,49.869,559320.987,70.866,32605.953,0,-2147483648,0,0,0,0,0,0,0,0,10.665,2245.184,31.996,483.445,50.660,1205.685,79.990,400.930,101.321,584.943,7.000,1794343.000,49.000,262316.000,83.000,106217.000,99.000,136401.000,0.000,0.000,0.018,506439362.185,0.080,142492483.016,0.119,439479689.165,0.179,37634310.159,0.217,162654119.384
7.999,4011.414,26.663,642.690,50.660,3742.388,79.990,628.942,98.654,762.977,7.000,1112193.000,31.000,152518.000,49.000,1651251.000,160.000,47430.000,0.000,0.000,0.021,1879423600.422,0.080,238133910.781,0.119,782963079.606,0.158,165976344.850,0.199,369902714.960,7,2590,50,1953,0,0,0,0,0,0,7.874,680684.078,20.997,153425.167,36.745,208469.634,49.869,440384.628,160.105,13442.996,0,-2147483648,0,-2147483648,0,0,0,0,0,0,7.999,2719.411,26.663,534.795,50.660,1613.060,85.323,467.995,114.652,308.517,13.000,542871.000,31.000,119425.000,49.000,240948.000,83.000,12544.000,0.000,0.000,0.018,816231404.616,0.060,-94095386.144,0.098,66995600.836,0.140,140605071.529,0.202,120082642.682
5.333,2813.022,29.330,926.835,50.660,2818.439,77.324,525.092,101.321,260.660,5.000,1410148.000,36.000,499057.000,49.000,1626697.000,157.000,52792.000,0.000,0.000,0.018,1098050631.061,0.060,248627741.596,0.101,26874623.667,0.140,683601235.308,0.196,578185913.021,7,2641,31,660,50,1425,0,0,0,0,7.000,1350052.000,23.000,98139.000,49.000,412474.000,62.000,58916.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,5.333,2432.444,29.330,844.426,50.660,1420.646,90.655,203.752,109.320,123.484,5.249,690255.109,23.622,48286.381,36.745,130547.247,49.869,393166.332,157.480,14790.380,0.060,391786455.142,0.101,78904956.247,0.140,200233355.415,0.199,540244002.903,0.256,409532346.644
10.665,3857.081,50.660,2266.260,71.991,267.001,101.321,466.128,159.980,447.727,10.000,2742189.000,23.000,209590.000,36.000,790403.000,49.000,698399.000,0.000,0.000,0.018,573093405.331,0.060,-266198016.252,0.101,786061967.971,0.164,62018928.308,0.196,581537183.128,10,2808,50,1193,0,0,0,0,0,0,10.000,509762.000,49.000,264212.000,62.000,71187.000,76.000,15298.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,13.332,2085.248,37.329,1300.221,61.326,369.075,79.990,260.374,101.321,250.603,13.000,1538877.000,36.000,333982.000,49.000,71407.000,0.000,0.000,0.000,0.000,0.080,558836761.792,0.137,322521230.009,0.193,56147623.309,0.241,192460634.060,0.277,-8582828.924
2.666,2331.246,29.330,1529.475,50.660,2267.609,77.324,547.331,101.321,1041.760,13.123,742936.064,26.247,399325.737,49.869,876042.140,68.241,38426.615,94.488,211284.058,0.021,819556969.192,0.060,-85876384.415,0.098,777092100.719,0.140,768803.829,0.179,422460788.280,18,1092,50,1867,90,656,0,0,0,0,7.874,497749.483,26.247,222686.107,49.869,334251.810,73.491,26607.963,89.239,45749.285,0,-2147483648,0,0,0,0,0,0,0,0,5.333,1965.058,34.662,976.277,61.326,313.596,82.656,380.489,101.321,603.632,5.249,516022.152,23.622,118985.235,49.869,153082.134,70.866,21538.332,94.488,103357.836,0.021,473767701.789,0.054,8591649.376,0.098,181372766.174,0.158,388519040.313,0.208,44665665.113
5.333,1865.424,23.997,1659.574,50.660,3070.463,71.991,453.969,95.988,1221.787,5.249,685352.251,34.121,508724.743,49.869,1038675.890,81.365,64922.090,102.362,91298.705,0.021,886820359.299,0.080,426815580.473,0.140,432095707.196,0.179,487511222.002,0.220,9367960.751,15,775,50,1749,0,0,0,0,0,0,7.000,958283.000,23.000,116650.000,49.000,361198.000,99.000,65266.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,5.333,2036.070,23.997,1388.079,50.660,923.108,82.656,398.813,103.987,697.274,5.249,356895.252,34.121,157312.720,49.869,186627.288,81.365,18575.550,102.362,34880.526,0.021,381430336.233,0.057,86142749.982,0.092,193177308.175,0.137,68980129.036,0.176,368374971.028
10.665,1712.088,50.660,3051.632,71.991,583.529,101.321,700.246,127.984,550.806,10.499,834044.060,34.121,350308.988,49.869,1470242.412,86.614,128094.471,99.738,157260.239,0.021,723797643.978,0.080,808028077.513,0.119,471687317.078,0.179,496422218.156,0.238,380334881.894,13,1320,50,1165,0,0,0,0,0,0,13.000,308274.000,49.000,180665.000,97.000,20982.000,128.000,10892.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,10.665,1948.297,50.660,958.373,69.325,362.190,101.321,528.251,127.984,418.892,10.499,1025300.478,26.247,428585.017,49.869,143672.599,70.866,47316.086,99.738,74491.229,0.018,292328019.428,0.080,384271607.064,0.113,80745108.572,0.143,-69840134.298,0.182,237973373.593
5.333,2161.775,26.663,838.059,50.660,2199.014,71.991,518.037,90.655,561.462,5.249,880175.289,20.997,258284.842,34.121,124289.517,49.869,844751.867,70.866,40800.958,0.021,664396701.879,0.080,306293453.054,0.140,150781157.455,0.179,512694473.697,0.238,99022248.833,13,1385,50,1149,0,0,0,0,0,0,10.499,344852.233,26.247,30036.964,49.869,214004.430,81.365,22493.561,99.738,83670.852,0,0,0,0,0,0,0,0,0,0,7.999,2272.390,34.662,1442.637,55.993,733.052,77.324,456.359,103.987,341.710,7.874,925309.273,34.121,156125.470,49.869,234369.994,76.115,41499.020,102.362,21591.561,0.018,496130620.533,0.060,-44527833.250,0.089,177549709.333,0.143,387217639.029,0.176,271215663.571
7.999,2134.834,50.660,2108.755,79.990,526.224,101.321,574.541,135.983,243.055,13.000,514283.000,34.000,779548.000,49.000,415769.000,99.000,115597.000,0.000,0.000,0.021,568277496.235,0.083,291495304.665,0.140,433921012.464,0.199,87714016.924,0.241,192216216.223,7,1867,37,1392,0,0,0,0,0,0,7.874,572330.685,49.869,197207.952,62.992,66898.856,76.115,30529.669,97.113,149113.253,0,0,0,0,0,0,0,0,0,0,10.665,1531.134,34.662,1347.795,58.659,896.958,95.988,470.629,122.651,237.493,7.874,206180.313,34.121,317016.030,49.869,81820.924,65.617,18960.025,78.740,13923.223,0.018,652216700.244,0.060,19232307.157,0.089,134294799.988,0.140,280556808.996,0.179,258676760.565
13.332,2439.927,50.660,2978.729,69.325,905.314,98.654,888.031,133.317,389.783,13.123,1032298.692,28.871,184136.245,49.869,918829.373,68.241,64931.670,81.365,29367.755,0.021,379979949.920,0.060,467569221.258,0.101,589441263.193,0.137,659759750.047,0.199,139000952.570,7,2536,39,1629,0,0,0,0,0,0,7.874,696182.331,26.247,57497.244,49.869,280366.391,97.113,47164.908,131.234,19019.523,0,-2147483648,0,0,0,0,0,0,0,0,13.332,2180.867,50.660,1449.157,77.324,593.005,98.654,723.749,117.319,248.712,13.123,1154965.933,36.745,113339.158,52.493,239030.996,76.115,42176.466,91.864,68756.696,0.021,256058697.513,0.080,807737871.157,0.158,373160163.480,0.196,175155299.284,0.238,294545838.256
5.333,2485.258,31.996,1424.496,50.660,2954.293,74.657,761.374,98.654,669.550,5.249,866002.724,20.997,411393.600,36.745,886131.074,49.869,1577211.013,70.866,93442.678,0.021,755268936.639,0.080,555083729.100,0.119,-187433356.814,0.161,568630905.654,0.217,396936888.653,15,1176,39,1096,0,0,0,0,0,0,10.499,744319.713,31.496,260777.122,49.869,132571.681,70.866,32276.461,99.738,20444.602,0,0,0,0,0,0,0,0,0,0,10.665,1715.070,37.329,1628.070,63.992,626.871,98.654,728.306,117.319,272.080,15.748,342519.833,36.745,711958.312,49.869,171251.821,62.992,33226.558,81.365,28605.418,0.024,236918512.176,0.080,564840793.866,0.134,279463328.127,0.191,139115715.418,0.268,219222183.810
10.665,3978.468,29.330,643.883,50.660,2389.029,87.989,641.279,117.319,575.290,10.000,1922049.000,36.000,418566.000,49.000,788738.000,78.000,56469.000,0.000,0.000,0.018,1484526180.251,0.057,-229317073.550,0.098,1009199980.068,0.137,-100221904.260,0.179,458291438.768,7,2906,50,1919,0,0,0,0,0,0,7.874,433610.701,20.997,138788.479,36.745,66347.225,49.869,396694.173,68.241,24394.300,0,-2147483648,0,-2147483648,0,0,0,0,0,0,10.665,2822.862,37.329,1304.106,63.992,311.716,85.323,457.346,114.652,519.254,10.499,2050901.601,36.745,191372.792,49.869,123848.510,78.740,33238.072,99.738,44621.475,0.060,-250330328.796,0.101,524312133.452,0.161,9410146.003,0.217,253176345.038,0.259,74536020.142
7.999,3835.512,26.663,1466.578,50.660,2435.974,98.654,721.827,127.984,590.005,7.000,2049615.000,20.000,186914.000,49.000,725727.000,97.000,43638.000,0.000,0.000,0.018,947203794.105,0.063,-708310580.339,0.101,1268188285.786,0.140,304172550.331,0.199,150754832.445,7,2189,50,1881,0,0,0,0,0,0,7.000,1454152.000,49.000,613045.000,104.000,36755.000,0.000,0.000,0.000,0.000,0,-2147483648,0,-2147483648,0,-2147483648,0,0,0,0,7.999,3325.736,37.329,923.065,63.992,530.528,85.323,465.400,103.987,545.900,7.874,562695.768,20.997,22537.892,36.745,54087.024,52.493,156105.449,83.990,37323.103,0.060,-409874411.759,0.098,397558136.943,0.134,77943076.085,0.167,-25649401.961,0.247,478168338.724
